#Copernicus Marine Service - https://marine.copernicus.eu
#Product SST_GLO_SST_L4_NRT_OBSERVATIONS_010_001 - https://resources.marine.copernicus.eu/?option=com_csw&view=details&product_id=SST_GLO_SST_L4_NRT_OBSERVATIONS_010_001
#Dataset METOFFICE-GLO-SST-L4-NRT-OBS-SST-MON-V2
#Variable analysed_sst (kelvin)
#Longitude: 46.48°W Latitude: 26.25°S

time,analysed_sst
"2010-04-15T12:00:00.000Z",298.75998
"2010-05-15T12:00:00.000Z",297.37
"2010-06-15T12:00:00.000Z",295.27
"2010-07-15T12:00:00.000Z",294.77
"2010-08-15T12:00:00.000Z",293.54
"2010-09-15T12:00:00.000Z",293.83
"2010-10-15T12:00:00.000Z",294.8
"2010-11-15T12:00:00.000Z",296.19998
"2010-12-15T12:00:00.000Z",298.28
"2011-01-15T12:00:00.000Z",299.8
"2011-02-15T12:00:00.000Z",300.12
"2011-03-15T12:00:00.000Z",298.44
"2011-04-15T12:00:00.000Z",298.47998
"2011-05-15T12:00:00.000Z",296.41998
"2011-06-15T12:00:00.000Z",294.28
"2011-07-15T12:00:00.000Z",293.25998
"2011-08-15T12:00:00.000Z",293.22
"2011-09-15T12:00:00.000Z",293.77
"2011-10-15T12:00:00.000Z",294.81
"2011-11-15T12:00:00.000Z",295.21
"2011-12-15T12:00:00.000Z",297.09
"2012-01-15T12:00:00.000Z",297.83
"2012-02-15T12:00:00.000Z",298.65
"2012-03-15T12:00:00.000Z",298.94
"2012-04-15T12:00:00.000Z",298.24
"2012-05-15T12:00:00.000Z",296.3
"2012-06-15T12:00:00.000Z",295.32
"2012-07-15T12:00:00.000Z",294.22998
"2012-08-15T12:00:00.000Z",294.11
"2012-09-15T12:00:00.000Z",295.22998
"2012-10-15T12:00:00.000Z",294.91
"2012-11-15T12:00:00.000Z",296.49
"2012-12-15T12:00:00.000Z",298.49
"2013-01-15T12:00:00.000Z",298.74
"2013-02-15T12:00:00.000Z",299.69998
"2013-03-15T12:00:00.000Z",299.08
"2013-04-15T12:00:00.000Z",298.09
"2013-05-15T12:00:00.000Z",297.03
"2013-06-15T12:00:00.000Z",295.47998
"2013-07-15T12:00:00.000Z",293.93
"2013-08-15T12:00:00.000Z",293.61
"2013-09-15T12:00:00.000Z",294.11
"2013-10-15T12:00:00.000Z",295
"2013-11-15T12:00:00.000Z",296.25998
"2013-12-15T12:00:00.000Z",298.13
"2014-01-15T12:00:00.000Z",300.46
"2014-02-15T12:00:00.000Z",299.55
"2014-03-15T12:00:00.000Z",299.53
