date,cell_ll_lat,cell_ll_lon,mmsi,hours,fishing_hours
2020-12-30,-2,-117.7,367649000,0.5347,0
2020-12-30,-2,-119.8,367649000,0.2616,0
2020-12-30,-2,-118.1,367649000,0.5286,0
2020-12-30,-2,-118.9,367649000,0.5027,0
2020-12-30,-2,-116.3,367649000,0.9666,0
2020-12-30,-2,-119,367649000,0.5355,0
2020-12-30,-2,-115.9,367649000,0.0561,0
2020-12-30,-2,-117.5,367649000,0.4425,0
2020-12-30,-2,-119.9,367649000,0.7369,0
2020-12-30,-2,-119.6,367649000,0.2975,0
2020-12-30,-2,-120.4,367649000,0.4877,0
2020-12-30,-2,-120.2,367649000,0.456,0
2020-12-30,-2,-118.3,367649000,0.3461,0
2020-12-30,-2,-117,367649000,0.6177,0
2020-12-30,-2,-121.8,412007970,0.6672,0
2020-12-30,-2,-121.7,412007970,0.5658,0
2020-12-30,-2,-146.6,412328714,0.3513,0.3513
2020-12-30,-2,-146,412328714,1.623,1.623
2020-12-30,-2,-146.3,412328714,0.4311,0.4311
2020-12-30,-2,-146.2,412328714,2.4566,2.4566
2020-12-30,-2,-145.9,412328714,0.6561,0.6561
2020-12-30,-2,-146.5,412328714,1.493,1.493
2020-12-30,-2,-146.1,412328714,1.3083,1.3083
2020-12-30,-2,48,412331014,0.8644,0
2020-12-30,-2,176.4,412420918,0.558,0
2020-12-30,-2,176.5,412420918,0.3911,0
2020-12-30,-2,176.3,412420918,0.0861,0
2020-12-30,-2,-120,412440548,0.4422,0
2020-12-30,-2,-120.5,412440548,0.6838,0
2020-12-30,-2,-119.5,412440551,1.7444,0
2020-12-30,-2,-120.1,412440551,5.2455,0
2020-12-30,-2,-121.5,412440552,0.3716,0
2020-12-30,-2,-121.4,412440552,0.6958,0
2020-12-30,-2,-121.3,412440552,0.3969,0
2020-12-30,-2,-120.4,412440693,0.5961,0
2020-12-30,-2,-120.5,412440693,0.1033,0
2020-12-30,-2,-122.5,412440694,0.0669,0
2020-12-30,-2,-122.4,412440694,0.6397,0
2020-12-30,-2,-122.3,412440694,0.0977,0
2020-12-30,-2,9.2,412549157,0.0575,0
2020-12-30,-2,9.1,412549157,2.7999,2.0519
2020-12-30,-2,171.1,412549243,0.4002,0
2020-12-30,-2,171,412549243,0.5625,0
2020-12-30,-2,85,412679810,0.4105,0
2020-12-30,-2,-179.5,416002198,0.6833,0
2020-12-30,-2,-165,416003928,0.7711,0
2020-12-30,-2,-165.1,416003928,0.5955,0
2020-12-30,-2,168.7,416004000,0.9416,0
2020-12-30,-2,168.6,416004000,0.2194,0
2020-12-30,-2,-157.1,416842000,0.5788,0
2020-12-30,-2,-156.4,416842000,0.2519,0
2020-12-30,-2,-156.7,416842000,0.6177,0
2020-12-30,-2,-155.5,416842000,0.578,0
2020-12-30,-2,-155.4,416842000,0.4911,0
2020-12-30,-2,-156.5,416842000,1.0147,0
2020-12-30,-2,-156.6,416842000,0.6472,0
2020-12-30,-2,-156.8,416842000,0.6316,0
2020-12-30,-2,-155.9,416842000,0.1213,0
2020-12-30,-2,-156.2,416842000,0.9194,0
2020-12-30,-2,-157.2,416842000,0.3891,0
2020-12-30,-2,-157,416842000,0.7269,0
2020-12-30,-2,-155.8,416842000,0.6794,0
2020-12-30,-2,-156.9,416842000,0.4711,0
2020-12-30,-2,-156.1,416842000,0.3091,0
2020-12-30,-2,-155.7,416842000,0.5011,0
2020-12-30,-2,-157.3,416842000,0.6508,0
2020-12-30,-2,-156.3,416842000,0.5802,0
2020-12-30,-2,-155.6,416842000,0.5758,0
2020-12-30,-2,-156,416842000,1.0763,0
2020-12-30,-2,145.5,431659000,0.4372,0
2020-12-30,-2,162.8,432942000,0.35,0
2020-12-30,-2,162.6,432942000,1.9016,1.2122
2020-12-30,-2,162.7,432942000,0.1166,0.1166
2020-12-30,-2,162.9,432942000,0.5177,0
2020-12-30,-2,-171.8,440479000,0.6122,0
2020-12-30,-2,-171.7,440479000,0.2544,0
2020-12-30,-2,174.6,441675000,0.0502,0
2020-12-30,-2,174.7,441675000,0.6905,0
2020-12-30,-2,-157.2,529440000,0.81,0
2020-12-30,-2,-168.7,529695000,0.6013,0
2020-12-30,-2,161.9,544125120,0.5527,0
2020-12-30,-2,162,544125120,0.2344,0
2020-12-30,-2,149.1,548045600,8.315,8.183
2020-12-30,-2,149.2,548045600,6.5583,2.0288
2020-12-30,-2,149.3,548045600,2.5574,0
2020-12-30,-2,151.5,548938000,1.3844,0
2020-12-30,-2,151,548938000,0.26,0
2020-12-30,-2,151.3,548938000,0.4361,0
2020-12-30,-2,151.1,548938000,0.4108,0
2020-12-30,-2,151.4,548938000,4.7144,2.6483
2020-12-30,-2,149.2,548939000,0.4625,0.4316
2020-12-30,-2,149.3,548939000,2.0961,2.0961
2020-12-30,-2,145.7,553111643,0.5913,0
2020-12-30,-2,152.2,577262000,0.9822,0
2020-12-30,-2,152.4,577262000,0.5966,0
2020-12-30,-2,152.3,577262000,0.4541,0
2020-12-30,-2,-5.1,627851000,0.4686,0
2020-12-30,-2,55.6,660001800,0.453,0
2020-12-30,-2,-82.5,730015000,0.3588,0
2020-12-30,-2,-82.6,730015000,0.5258,0
2020-12-30,-2,-82.7,730015000,0.2824,0
2020-12-30,-2,-95.9,735057563,8.5177,0.2863
2020-12-30,2.5,142.3,200023340,0.9672,0.9672
2020-12-30,2.5,-4.3,224431000,4.1094,4.1094
2020-12-30,2.5,-4.4,224431000,3.1863,2.2355
2020-12-30,2.5,-2.6,332001000,0.5088,0
2020-12-30,2.5,90.2,412440452,0.8497,0
2020-12-30,2.5,90.3,412440606,0.9394,0
2020-12-30,2.5,169.8,412695650,0.5119,0
2020-12-30,2.5,169.9,412695650,0.753,0
2020-12-30,2.5,149.1,416004043,1.0919,0.9377
2020-12-30,2.5,157.3,416230600,0.5241,0
2020-12-30,2.5,157.8,416231600,0.4227,0
2020-12-30,2.5,157.9,416231600,0.3338,0
2020-12-30,2.5,101.4,416350000,0.4047,0
2020-12-30,2.5,101.5,416350000,0.5277,0
2020-12-30,2.5,66.6,417000711,0,0
2020-12-30,2.5,66.1,417000758,3.8791,3.8791
2020-12-30,2.5,67.7,417000822,3.85,3.85
2020-12-30,2.5,148.8,432966000,0.3777,0
2020-12-30,2.5,148.7,432966000,0.2555,0
2020-12-30,2.5,-179.9,440595000,0.48,0
2020-12-30,2.5,-170.5,440765000,0.8366,0
2020-12-30,2.5,-170.6,440765000,0.6833,0
2020-12-30,2.5,-170.7,440765000,0.0333,0
2020-12-30,2.5,-153.3,441680000,0.9536,0
2020-12-30,2.5,-153.4,441680000,0.1461,0
2020-12-30,2.5,155.1,510060000,0.4675,0
2020-12-30,2.5,155.2,510060000,0.0502,0
2020-12-30,2.5,-168.8,529695000,0.5047,0
2020-12-30,2.5,-16.6,627073000,0.9225,0
2020-12-30,2.5,-16.5,627073000,1.1547,0
2020-12-30,2.5,-16.7,627073000,3.3911,1.0194
2020-12-30,2.5,-11.8,627255000,0.3833,0
2020-12-30,2.5,-11.9,627255000,1.2116,0
2020-12-30,2.5,-12.1,627255000,3.5005,2.7641
2020-12-30,2.5,-11.4,627255000,0.0905,0
2020-12-30,2.5,-12,627255000,0.5972,0.5972
2020-12-30,2.5,-11.3,627255000,0.6711,0
2020-12-30,2.5,-3.7,627996000,0.2575,0
2020-12-30,2.5,-3.8,627996000,0.5222,0
2020-12-30,2.5,-8.1,636083838,0.2822,0
2020-12-30,2.5,-8,636083838,0.6083,0
2020-12-30,2.5,-7.9,636083838,0.1133,0
2020-12-30,2.5,59.7,664666000,3.1894,3.1894
2020-12-30,2.5,59.8,664666000,0.8186,0.8186
2020-12-30,-2.5,-17.6,224049530,1.2291,0.5258
2020-12-30,-2.5,-4.5,225459000,0.7261,0
2020-12-30,-2.5,-6.3,312864000,0.4691,0
2020-12-30,-2.5,-6.4,312864000,0.1333,0
2020-12-30,-2.5,-154.6,367133000,0.1436,0
2020-12-30,-2.5,-154.7,367133000,0.3741,0
2020-12-30,-2.5,-121.6,412007970,0.8111,0.8111
2020-12-30,-2.5,-121.5,412007970,0.3961,0.3961
